[15316 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.53 °C DB, 93.95 % RH), 
[8020 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (11.38 °C DB, 93.70 % RH), 
[6044 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.25 °C DB, 89.20 % RH), 
[1048 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.25 °C DB, 88.20 % RH), 
[20104 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.23 °C DB, 86.30 % RH), 
[15200 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.30 °C DB, 85.00 % RH), 
[2180 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.35 °C DB, 83.75 % RH), 
[7792 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.36 °C DB, 83.30 % RH), 
[9280 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.61 °C DB, 81.20 % RH), 
[18864 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.89 °C DB, 79.75 % RH), 
[19120 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (13.25 °C DB, 77.95 % RH), 
[4692 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (13.53 °C DB, 76.10 % RH), 
[3596 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (13.45 °C DB, 76.30 % RH), 
[18356 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.85 °C DB, 79.95 % RH), 
[11884 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (11.96 °C DB, 87.05 % RH), 
[20388 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (11.48 °C DB, 88.85 % RH), 
[15316 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15316 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (12.04 °C DB, 85.98 % RH), 
[20104 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[20104 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (11.16 °C DB, 86.48 % RH), 
[15200 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15200 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.29 °C DB, 86.98 % RH), 
[2180 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[2180 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (9.41 °C DB, 87.48 % RH), 
[7792 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[7792 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (8.53 °C DB, 87.97 % RH), 
[9280 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[9280 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (7.65 °C DB, 88.47 % RH), 
[18864 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[18864 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (6.77 °C DB, 88.97 % RH), 
[19120 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[19120 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (5.89 °C DB, 89.47 % RH), 
[4692 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[3596 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[11884 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[20388 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[18356 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15316 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[20104 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15200 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[9280 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[1048 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.42 g/kg AH (50.26 % RH)
[19120 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[2180 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[18864 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[8020 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.44 g/kg AH (50.40 % RH)
[6044 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.51 g/kg AH (50.79 % RH)
