[11148 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (9.77 °C DB, 53.15 % RH),
[11148 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[11584 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (4.02 °C DB, 81.45 % RH),
[11584 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[11584 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (9.91 °C DB, 52.25 % RH),
[11584 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[11676 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (3.25 °C DB, 86.75 % RH),
[11676 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[11676 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (6.25 °C DB, 67.25 % RH),
[11676 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[12464 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (6.40 °C DB, 78.90 % RH),
[12464 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[14296 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (7.77 °C DB, 64.55 % RH),
[14296 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[14296 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (3.40 °C DB, 83.00 % RH),
[14296 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15292 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (3.03 °C DB, 93.75 % RH),
[15292 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15292 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (2.53 °C DB, 87.40 % RH),
[15292 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[15300 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.99 °C DB, 45.55 % RH),
[15300 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[18660 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (8.75 °C DB, 58.00 % RH),
[18660 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[20796 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (3.87 °C DB, 83.15 % RH),
[20796 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[20796 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (8.88 °C DB, 58.10 % RH),
[20796 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[21456 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (1.84 °C DB, 93.70 % RH),
[21456 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[21456 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (4.20 °C DB, 78.85 % RH),
[21456 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[22068 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.63 °C DB, 47.30 % RH),
[22068 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[29512 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.25 °C DB, 49.75 % RH),
[29512 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[30804 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.84 °C DB, 46.10 % RH),
[30804 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[33088 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (10.73 °C DB, 47.25 % RH),
[33088 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[36752 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (3.43 °C DB, 86.05 % RH),
[36752 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[36752 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (5.11 °C DB, 73.85 % RH),
[36752 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[9324 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (2.50 °C DB, 90.00 % RH),
[9324 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
[9324 | __mp_main__ | INFO] Analyze AC system with outdoor_air = (7.74 °C DB, 63.55 % RH),
[9324 | __mp_main__ | INFO] Zone air state: 22.22 °C DB, 8.37 g/kg AH (50.00 % RH)
