T_out,heating_cap,input_power
35,4.5,1.25
34,4.5,1.26
33,4.5,1.27
32,4.5,1.28
31,4.5,1.29
30,4.5,1.3
29,4.5,1.31
28,4.5,1.32
27,4.5,1.33
26,4.5,1.34
25,4.5,1.35
24,4.5,1.36
23,4.5,1.37
22,4.5,1.38
21,4.5,1.39
20,4.5,1.41
19,4.5,1.43
18,4.5,1.46
17,4.5,1.48
16,4.5,1.51
15,4.5,1.54
14,4.5,1.56
13,4.5,1.59
12,4.5,1.62
11,4.5,1.65
10,4.5,1.69
9,4.5,1.72
8,4.5,1.76
7,4.5,1.79
6,4.5,1.83
5,4.5,1.88
4,4.25,1.91
3,4.13,1.94
2,4,1.98
1,3.97,2
0,3.93,2.03
-1,3.9,2.05
-2,3.87,2.08
-3,3.83,2.1
-4,3.8,2.13
-5,3.77,2.15
-6,3.73,2.18
-7,3.7,2.2
-8,3.67,2.22
-9,3.64,2.24
-10,3.61,2.26
-11,0,0
-12,0,0
-13,0,0
-14,0,0
-15,0,0
-16,0,0
-17,0,0
-18,0,0
-19,0,0
-20,0,0
