time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,5.86,89.59,0,0,0,304.07,3.96,254,103196
20190101:0100,6.03,89.62,0,0,0,307.33,3.81,254,103166
20190101:0200,6.19,89.66,0,0,0,310.59,3.66,258,103166
20190101:0300,6.36,89.69,0,0,0,313.85,3.51,260,103116
20190101:0400,6.53,89.72,0,0,0,317.12,3.36,261,103067
20190101:0500,6.69,89.76,0,0,0,320.38,3.21,266,103027
20190101:0600,6.86,89.79,0,0,0,323.64,3.06,270,103007
20190101:0700,7.02,89.83,0,0,0,326.9,2.91,261,103007
20190101:0800,6.13,89.95,0,0,0,304.4,3.45,259,103017
20190101:0900,6.75,89.35,52,20.95,49,337.6,3.72,262,103027
20190101:1000,7.25,89.2,50,0,50,340.4,3.86,269,103007
20190101:1100,7.73,89,37,0,37,342.4,4,276,102997
20190101:1200,8.29,88.5,37,0,37,346.2,4.21,284,102927
20190101:1300,8.73,88.75,53,0,53,349,4.28,296,102907
20190101:1400,9.04,89.25,41,0,41,349.6,4.21,314,102947
20190101:1500,8.96,88,13,0,13,347.2,4.48,336,102997
20190101:1600,8.46,81.1,0,0,0,340.4,4.41,346,103086
20190101:1700,7.62,75.05,0,0,0,314.4,4.21,343,103156
20190101:1800,7.08,72.5,0,0,0,306.6,4.14,335,103186
20190101:1900,6.7,76,0,0,0,295.6,4.21,328,103236
20190101:2000,6.36,75.3,0,0,0,283.4,4.41,333,103296
20190101:2100,6.36,70.8,0,0,0,307.8,4.48,340,103346
20190101:2200,6.1,69,0,0,0,297.2,4.07,340,103386
20190101:2300,5.91,66.5,0,0,0,293.4,3.93,336,103416
20190102:0000,5.8,63.5,0,0,0,292.6,4.14,337,103456
20190102:0100,5.6,63.9,0,0,0,283,4.28,343,103486
20190102:0200,5.48,63.8,0,0,0,282,4.07,343,103546
20190102:0300,5.55,62.1,0,0,0,290.4,4,343,103546
20190102:0400,5.64,61.25,0,0,0,298,3.86,342,103576
20190102:0500,5.69,61.65,0,0,0,300.8,3.79,344,103586
20190102:0600,5.47,63.95,0,0,0,286.6,3.66,345,103596
20190102:0700,5.14,66.1,0,0,0,278.2,3.59,348,103635
20190102:0800,5.33,66.7,0,0,0,297.2,3.45,349,103705
20190102:0900,5.5,69.35,64,55.63,56,291,3.38,350,103755
20190102:1000,6.05,70.65,92,22.33,87,277,3.66,353,103795
20190102:1100,6.73,70.3,135,59.68,119,273.6,3.24,353,103805
20190102:1200,7.03,66.7,138,62.19,121,275.8,3.72,358,103775
20190102:1300,7.18,60.5,99,25.07,93,285.6,4.28,2,103775
20190102:1400,6.89,63,60,11.88,58,277.8,3.59,360,103795
20190102:1500,6.16,65.9,22,45.93,19,253.4,2.97,354,103815
20190102:1600,4.93,70.45,0,0,0,254,2.48,347,103835
20190102:1700,3.94,75.35,0,0,0,251.6,2.41,342,103865
20190102:1800,3.25,78.7,0,0,0,250,2.41,344,103865
20190102:1900,2.84,81.55,0,0,0,249.2,2.28,344,103895
20190102:2000,2.29,84.15,0,0,0,250,2.21,343,103905
20190102:2100,1.82,86.2,0,0,0,256.4,2.07,345,103885
20190102:2200,1.42,87.95,0,0,0,262.8,1.86,344,103855
20190102:2300,1.36,88.95,0,0,0,276.6,1.72,341,103855
20190103:0000,1.86,88.9,0,0,0,297.8,1.52,331,103855
20190103:0100,1.73,89.6,0,0,0,286,1.59,314,103885
20190103:0200,1.98,90.05,0,0,0,300,1.52,294,103925
20190103:0300,2.27,89.85,0,0,0,304,1.59,288,103915
20190103:0400,2.31,90.2,0,0,0,297.2,1.66,296,103875
20190103:0500,2.22,91.35,0,0,0,292.2,1.72,307,103855
20190103:0600,2.34,92.4,0,0,0,300,1.66,314,103855
20190103:0700,3.23,90.6,0,0,0,317.4,1.79,336,103865
20190103:0800,3.25,91.3,0,0,0,307,1.79,330,103915
20190103:0900,3.43,92,91,221.34,59,299.6,1.66,325,103925
20190103:1000,4.52,88.85,158,275.6,96,289.4,1.45,328,103965
20190103:1100,5.27,84.75,186,237.51,122,279,1.59,330,103955
20190103:1200,6.02,78.55,76,0,76,290.4,2,349,103885
20190103:1300,6.15,76.3,114,49.73,102,283,2.28,357,103855
20190103:1400,6.07,77.45,83,76.23,70,287.6,1.93,347,103855
20190103:1500,5.74,80.05,34,177.5,22,292.6,1.66,337,103915
20190103:1600,5.1,82.45,0,0,0,298.4,1.79,332,103935
