[5268 | __mp_main__ | INFO] Rating @ n_cmp = 2100 1/min
[13656 | __mp_main__ | INFO] Rating @ n_cmp = 2400 1/min
[5268 | __mp_main__ | INFO] Iteration 1 @ 2100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[13656 | __mp_main__ | INFO] Iteration 1 @ 2400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12604 | __mp_main__ | INFO] Rating @ n_cmp = 2700 1/min
[12604 | __mp_main__ | INFO] Iteration 1 @ 2700 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2036 | __mp_main__ | INFO] Rating @ n_cmp = 3000 1/min
[2036 | __mp_main__ | INFO] Iteration 1 @ 3000 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[8968 | __mp_main__ | INFO] Rating @ n_cmp = 3300 1/min
[8968 | __mp_main__ | INFO] Iteration 1 @ 3300 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[5816 | __mp_main__ | INFO] Rating @ n_cmp = 3600 1/min
[6464 | __mp_main__ | INFO] Rating @ n_cmp = 3900 1/min
[5816 | __mp_main__ | INFO] Iteration 1 @ 3600 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[6464 | __mp_main__ | INFO] Iteration 1 @ 3900 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[12576 | __mp_main__ | INFO] Rating @ n_cmp = 4200 1/min
[12576 | __mp_main__ | INFO] Iteration 1 @ 4200 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[4164 | __mp_main__ | INFO] Rating @ n_cmp = 4500 1/min
[4164 | __mp_main__ | INFO] Iteration 1 @ 4500 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | INFO] Rating @ n_cmp = 4800 1/min
[1768 | __mp_main__ | INFO] Iteration 1 @ 4800 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[16232 | __mp_main__ | INFO] Rating @ n_cmp = 5100 1/min
[16232 | __mp_main__ | INFO] Iteration 1 @ 5100 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[2952 | __mp_main__ | INFO] Rating @ n_cmp = 5400 1/min
[2952 | __mp_main__ | INFO] Iteration 1 @ 5400 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[2952 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[16232 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[4164 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[12576 | __mp_main__ | WARNING] No subcooling of refrigerant in condenser.
[5816 | __mp_main__ | INFO] Iteration 1 @ 3600 1/min: error with (3600 1/min, 5.000 °C, 50.000 °C): for T_evp = 0.577 K, for T_cnd = 0.443 K
[5816 | __mp_main__ | INFO] Iteration 2 @ 3600 1/min: try with T_evp = 5.000 °C and T_cnd = 50.000 °C
[1768 | __mp_main__ | INFO] Iteration 1 @ 4800 1/min: error with (4800 1/min, 5.000 °C, 50.000 °C): for T_evp = -3.014 K, for T_cnd = -1.722 K
